Brand,Car_Type,Weight_kg,Wheel_Size_in,Engine_Size_L,Car_Age_Years,Tire_Design
Ford,Truck,1649,14,3.4,10,Wide-Spaced Honeycomb
BMW,Hatchback,2727,18,4.9,7,Wide-Cell Honeycomb
Toyota,Van,2351,15,2.6,15,Versatile Honeycomb
Chevrolet,Wagon,2217,22,2.1,17,Wide-Cell Honeycomb
Hyundai,Convertible,1767,16,2.6,8,Wide-Spaced Honeycomb
BMW,Truck,2765,22,2.5,10,Wide-Cell Honeycomb
Kia,Truck,1719,16,1.6,14,Wide-Spaced Honeycomb
Kia,Sedan,1217,22,4.3,20,Dense Texture Honeycomb
Ford,Sedan,2096,16,2.9,19,Versatile Honeycomb
Hyundai,SUV,1522,16,4.3,14,Wide-Spaced Honeycomb
Audi,Truck,2257,21,3.7,19,Wide-Cell Honeycomb
Ford,Convertible,2719,16,4.0,2,Versatile Honeycomb
Toyota,SUV,1252,17,3.0,19,Compact Honeycomb
Hyundai,Coupe,2551,22,3.5,17,Wide-Cell Honeycomb
Honda,Wagon,1135,15,3.7,11,Compact Honeycomb
Audi,Coupe,2638,17,3.7,11,Versatile Honeycomb
Chevrolet,Wagon,1670,20,3.7,15,Wide-Cell Honeycomb
Hyundai,SUV,1971,20,1.5,2,Wide-Cell Honeycomb
Kia,SUV,1019,18,4.9,17,Wide-Spaced Honeycomb
BMW,Truck,1433,19,3.9,4,Wide-Spaced Honeycomb
Nissan,Coupe,1481,19,3.2,1,Wide-Spaced Honeycomb
Kia,Coupe,2161,15,4.2,7,Versatile Honeycomb
Toyota,Hatchback,2499,16,3.3,7,Versatile Honeycomb
BMW,SUV,2314,21,2.6,7,Wide-Cell Honeycomb
Toyota,Sedan,2306,17,3.7,7,Versatile Honeycomb
Audi,Convertible,2472,20,3.5,5,Wide-Cell Honeycomb
Hyundai,Hatchback,2023,21,3.7,5,Wide-Cell Honeycomb
Chevrolet,Coupe,2894,15,3.8,1,Versatile Honeycomb
Hyundai,Hatchback,1178,18,2.3,10,Wide-Spaced Honeycomb
Honda,SUV,2707,16,2.1,8,Versatile Honeycomb
Toyota,Hatchback,1866,16,3.9,18,Wide-Spaced Honeycomb
Audi,Convertible,2065,21,3.2,11,Wide-Cell Honeycomb
Hyundai,SUV,1773,14,4.1,12,Wide-Spaced Honeycomb
Toyota,Convertible,1802,18,2.9,5,Wide-Cell Honeycomb
Honda,Hatchback,2786,17,1.5,4,Versatile Honeycomb
Honda,Wagon,2180,18,3.3,14,Wide-Cell Honeycomb
Nissan,Truck,2709,15,2.7,20,Versatile Honeycomb
Honda,Truck,2314,15,4.4,8,Versatile Honeycomb
Nissan,Truck,1046,22,4.3,11,Dense Texture Honeycomb
Honda,Van,1367,22,3.1,13,Dense Texture Honeycomb
Chevrolet,Hatchback,2215,16,3.5,1,Versatile Honeycomb
Mercedes,Sedan,1337,16,3.7,6,Compact Honeycomb
Hyundai,SUV,1060,21,4.1,5,Dense Texture Honeycomb
Chevrolet,Convertible,1561,21,4.2,18,Wide-Cell Honeycomb
Ford,Truck,2694,14,3.8,7,Versatile Honeycomb
BMW,Wagon,2426,14,4.5,13,Versatile Honeycomb
Nissan,Wagon,2485,21,4.4,2,Wide-Cell Honeycomb
Kia,Truck,2052,19,3.5,15,Wide-Cell Honeycomb
Honda,Coupe,1122,22,1.6,18,Dense Texture Honeycomb
Audi,Truck,1065,22,3.1,1,Dense Texture Honeycomb
Chevrolet,Convertible,2486,17,2.1,10,Versatile Honeycomb
Chevrolet,Sedan,1360,18,4.7,20,Wide-Spaced Honeycomb
Toyota,Truck,2779,14,2.8,3,Versatile Honeycomb
BMW,Van,1216,20,3.9,20,Dense Texture Honeycomb
Ford,Coupe,1614,16,2.9,8,Wide-Spaced Honeycomb
Nissan,Truck,1019,19,1.6,5,Wide-Spaced Honeycomb
Hyundai,Sedan,1920,16,2.8,16,Wide-Spaced Honeycomb
Honda,Truck,1032,17,4.3,4,Compact Honeycomb
Ford,Truck,1969,15,4.1,6,Wide-Spaced Honeycomb
Chevrolet,Convertible,2433,19,2.8,17,Wide-Cell Honeycomb
BMW,Van,1026,17,2.2,11,Compact Honeycomb
Chevrolet,Hatchback,1303,22,2.1,11,Dense Texture Honeycomb
BMW,Coupe,2062,19,4.1,11,Wide-Cell Honeycomb
Toyota,Convertible,2782,14,3.3,10,Versatile Honeycomb
Audi,SUV,2539,17,3.8,14,Versatile Honeycomb
Honda,Truck,2507,14,5.0,10,Versatile Honeycomb
Kia,Truck,2639,21,2.7,4,Wide-Cell Honeycomb
Toyota,Convertible,2907,19,2.6,13,Wide-Cell Honeycomb
Ford,Sedan,1387,22,2.9,12,Dense Texture Honeycomb
Audi,Hatchback,2889,17,2.6,5,Versatile Honeycomb
Kia,Hatchback,1004,15,4.8,3,Compact Honeycomb
Kia,Coupe,1108,17,3.4,6,Compact Honeycomb
Toyota,Truck,1798,14,1.9,7,Wide-Spaced Honeycomb
Toyota,Truck,1130,20,4.1,17,Dense Texture Honeycomb
Nissan,Van,2014,21,4.2,8,Wide-Cell Honeycomb
Audi,Sedan,2400,18,3.3,12,Wide-Cell Honeycomb
Audi,Sedan,2928,18,1.6,17,Wide-Cell Honeycomb
Honda,Sedan,1835,16,2.9,8,Wide-Spaced Honeycomb
Chevrolet,Truck,2732,21,1.6,6,Wide-Cell Honeycomb
Audi,Hatchback,1675,14,2.9,5,Wide-Spaced Honeycomb
Mercedes,SUV,1769,21,3.7,8,Wide-Cell Honeycomb
Mercedes,Coupe,1482,21,2.9,3,Dense Texture Honeycomb
Ford,Coupe,2335,17,2.1,13,Versatile Honeycomb
Toyota,Sedan,1744,22,1.7,19,Wide-Cell Honeycomb
Ford,Hatchback,2884,20,2.1,6,Wide-Cell Honeycomb
Audi,Coupe,1781,16,4.0,6,Wide-Spaced Honeycomb
Audi,Coupe,2772,18,3.8,19,Wide-Cell Honeycomb
Kia,Sedan,1606,15,2.1,18,Wide-Spaced Honeycomb
BMW,Hatchback,2758,15,2.7,4,Versatile Honeycomb
Ford,Convertible,2886,14,4.6,20,Versatile Honeycomb
BMW,Wagon,1443,22,4.2,20,Dense Texture Honeycomb
Kia,Convertible,1924,19,3.8,17,Wide-Cell Honeycomb
Kia,Sedan,1796,20,2.2,10,Wide-Cell Honeycomb
Kia,Convertible,2942,15,4.1,5,Versatile Honeycomb
Chevrolet,Truck,2031,18,1.9,7,Wide-Cell Honeycomb
Kia,Van,2489,19,1.5,13,Wide-Cell Honeycomb
Nissan,Convertible,1757,18,1.6,13,Wide-Cell Honeycomb
Ford,Van,2054,19,1.6,1,Wide-Cell Honeycomb
Toyota,SUV,1767,21,2.0,20,Wide-Cell Honeycomb
Ford,Van,2177,17,3.1,11,Versatile Honeycomb
Kia,Wagon,2335,16,3.5,5,Versatile Honeycomb
Audi,Truck,2172,14,3.0,13,Versatile Honeycomb
Kia,Hatchback,2650,14,3.3,12,Versatile Honeycomb
BMW,Hatchback,1413,14,4.2,13,Compact Honeycomb
Hyundai,Van,2953,21,3.9,14,Wide-Cell Honeycomb
Hyundai,Wagon,2393,18,1.7,8,Wide-Cell Honeycomb
Ford,Truck,2871,20,4.4,7,Wide-Cell Honeycomb
Toyota,Hatchback,1597,16,3.3,6,Wide-Spaced Honeycomb
Honda,Truck,2522,20,2.3,6,Wide-Cell Honeycomb
BMW,Van,1566,17,4.7,6,Wide-Spaced Honeycomb
BMW,Coupe,2816,21,5.0,19,Wide-Cell Honeycomb
Audi,Convertible,2738,15,1.7,18,Versatile Honeycomb
Audi,Truck,2048,15,2.0,16,Versatile Honeycomb
Toyota,Hatchback,2127,18,2.3,4,Wide-Cell Honeycomb
Nissan,Hatchback,2734,14,4.7,6,Versatile Honeycomb
Kia,Coupe,1648,15,4.7,6,Wide-Spaced Honeycomb
Toyota,Convertible,1715,15,2.6,14,Wide-Spaced Honeycomb
Nissan,Sedan,1932,22,3.7,16,Wide-Cell Honeycomb
Honda,Convertible,2604,16,2.8,5,Versatile Honeycomb
Audi,Truck,2913,18,2.7,4,Wide-Cell Honeycomb
Honda,Convertible,2509,17,4.0,14,Versatile Honeycomb
Kia,Hatchback,2096,16,3.2,10,Versatile Honeycomb
Toyota,Convertible,2291,17,3.8,4,Versatile Honeycomb
BMW,Coupe,2928,15,4.6,15,Versatile Honeycomb
Kia,Convertible,2631,19,4.7,3,Wide-Cell Honeycomb
Hyundai,Coupe,1432,17,5.0,11,Compact Honeycomb
Nissan,Convertible,2893,19,2.1,3,Wide-Cell Honeycomb
Hyundai,Van,1359,22,3.5,10,Dense Texture Honeycomb
Ford,Convertible,2014,14,1.5,11,Versatile Honeycomb
Kia,Van,1811,14,4.6,19,Wide-Spaced Honeycomb
Audi,Wagon,1522,21,2.0,13,Wide-Cell Honeycomb
Honda,SUV,2336,15,1.7,9,Versatile Honeycomb
Toyota,Convertible,1626,16,4.5,19,Wide-Spaced Honeycomb
Ford,Van,1300,21,1.6,1,Dense Texture Honeycomb
Audi,Sedan,1201,14,3.4,20,Compact Honeycomb
Ford,Convertible,2873,16,4.5,7,Versatile Honeycomb
Chevrolet,Van,2972,20,1.9,3,Wide-Cell Honeycomb
Chevrolet,SUV,2188,14,4.8,13,Versatile Honeycomb
Ford,Truck,1070,16,2.2,20,Compact Honeycomb
Toyota,Truck,2499,20,4.0,5,Wide-Cell Honeycomb
Kia,Wagon,2752,16,2.9,10,Versatile Honeycomb
Kia,Wagon,2542,19,1.8,1,Wide-Cell Honeycomb
BMW,Truck,1901,14,4.6,20,Wide-Spaced Honeycomb
Chevrolet,Convertible,1943,14,3.1,9,Wide-Spaced Honeycomb
Honda,Convertible,2612,22,4.7,10,Wide-Cell Honeycomb
Toyota,Wagon,2124,17,4.0,17,Versatile Honeycomb
Toyota,Van,2961,17,1.8,12,Versatile Honeycomb
Honda,Truck,2630,19,1.5,16,Wide-Cell Honeycomb
Kia,Van,1017,22,1.8,16,Dense Texture Honeycomb
Nissan,Coupe,2492,16,4.6,17,Versatile Honeycomb
Audi,Truck,2940,17,4.5,3,Versatile Honeycomb
Audi,Convertible,2693,22,2.5,7,Wide-Cell Honeycomb
Ford,Coupe,1743,20,2.3,18,Wide-Cell Honeycomb
Honda,Sedan,1219,21,4.6,5,Dense Texture Honeycomb
Kia,Van,1285,19,1.7,13,Wide-Spaced Honeycomb
Nissan,Sedan,1215,17,2.1,6,Compact Honeycomb
Hyundai,SUV,1189,21,2.0,20,Dense Texture Honeycomb
Chevrolet,SUV,2109,19,4.5,20,Wide-Cell Honeycomb
Mercedes,SUV,1292,17,4.9,8,Compact Honeycomb
Chevrolet,Coupe,2471,22,2.8,16,Wide-Cell Honeycomb
Nissan,Hatchback,1431,22,2.8,13,Dense Texture Honeycomb
Kia,Convertible,2126,19,3.0,20,Wide-Cell Honeycomb
Toyota,SUV,2573,19,4.5,5,Wide-Cell Honeycomb
BMW,Truck,1608,20,2.5,20,Wide-Cell Honeycomb
Ford,Hatchback,2910,14,3.7,9,Versatile Honeycomb
Hyundai,SUV,1793,20,1.8,7,Wide-Cell Honeycomb
Nissan,Convertible,2012,22,3.2,11,Wide-Cell Honeycomb
Ford,Convertible,1874,17,1.8,7,Wide-Spaced Honeycomb
Audi,SUV,2487,17,4.5,8,Versatile Honeycomb
Mercedes,Sedan,2606,22,2.1,5,Wide-Cell Honeycomb
Nissan,Hatchback,1332,19,2.4,5,Wide-Spaced Honeycomb
Mercedes,Sedan,2186,20,2.0,5,Wide-Cell Honeycomb
BMW,Sedan,1259,19,4.3,13,Wide-Spaced Honeycomb
Ford,Sedan,1225,14,1.5,13,Compact Honeycomb
Honda,Coupe,2563,16,4.5,3,Versatile Honeycomb
Ford,Convertible,1604,16,4.5,9,Wide-Spaced Honeycomb
Chevrolet,Convertible,2845,20,2.3,7,Wide-Cell Honeycomb
Kia,Coupe,2359,16,2.9,16,Versatile Honeycomb
Nissan,SUV,2484,17,4.7,1,Versatile Honeycomb
Nissan,Hatchback,1565,20,4.4,6,Wide-Cell Honeycomb
Ford,Convertible,2936,20,4.9,16,Wide-Cell Honeycomb
Honda,Hatchback,1992,19,3.5,14,Wide-Cell Honeycomb
Kia,Convertible,2351,16,3.7,8,Versatile Honeycomb
Nissan,SUV,1772,21,4.7,18,Wide-Cell Honeycomb
Chevrolet,Coupe,1402,18,2.4,14,Wide-Spaced Honeycomb
Ford,SUV,1840,19,3.0,11,Wide-Cell Honeycomb
BMW,Wagon,1181,15,2.7,17,Compact Honeycomb
Chevrolet,Van,1622,16,4.1,1,Wide-Spaced Honeycomb
Honda,Truck,1985,20,3.2,13,Wide-Cell Honeycomb
Honda,Sedan,2351,14,2.0,8,Versatile Honeycomb
Ford,Sedan,2621,18,4.0,4,Wide-Cell Honeycomb
BMW,SUV,2861,19,3.3,12,Wide-Cell Honeycomb
Ford,Wagon,2814,14,3.8,18,Versatile Honeycomb
BMW,Wagon,1527,14,2.5,11,Wide-Spaced Honeycomb
Mercedes,Van,1135,17,2.0,20,Compact Honeycomb
Honda,Sedan,2396,16,2.1,1,Versatile Honeycomb
BMW,Coupe,2801,17,2.8,11,Versatile Honeycomb
Toyota,Wagon,1453,14,2.6,14,Compact Honeycomb
Audi,Convertible,1553,20,1.6,12,Wide-Cell Honeycomb
Nissan,Truck,1656,20,3.3,13,Wide-Cell Honeycomb
Audi,Wagon,2222,17,2.5,1,Versatile Honeycomb
BMW,Truck,2955,19,2.2,10,Wide-Cell Honeycomb
BMW,Wagon,1619,15,4.3,16,Wide-Spaced Honeycomb
Hyundai,Truck,2561,14,4.8,7,Versatile Honeycomb
Nissan,Sedan,1675,20,3.8,4,Wide-Cell Honeycomb
Toyota,Truck,1754,18,1.6,14,Wide-Cell Honeycomb
Ford,Truck,2775,20,4.8,18,Wide-Cell Honeycomb
Toyota,Van,1583,14,4.8,8,Wide-Spaced Honeycomb
Kia,Coupe,1435,19,4.9,16,Wide-Spaced Honeycomb
Toyota,Truck,2436,20,4.8,19,Wide-Cell Honeycomb
BMW,Convertible,1110,18,4.6,17,Wide-Spaced Honeycomb
BMW,Coupe,1322,16,2.6,10,Compact Honeycomb
Chevrolet,Sedan,1616,17,1.7,15,Wide-Spaced Honeycomb
Mercedes,SUV,1453,18,1.7,17,Wide-Spaced Honeycomb
Ford,Truck,1733,19,3.7,18,Wide-Cell Honeycomb
BMW,SUV,2363,20,3.5,16,Wide-Cell Honeycomb
Audi,Hatchback,1975,19,3.1,1,Wide-Cell Honeycomb
Audi,Convertible,1178,16,3.9,11,Compact Honeycomb
Hyundai,Wagon,1747,20,4.6,8,Wide-Cell Honeycomb
Ford,Convertible,1500,16,1.7,16,Wide-Spaced Honeycomb
Kia,Sedan,1609,17,2.3,12,Wide-Spaced Honeycomb
Hyundai,Truck,2791,16,2.7,9,Versatile Honeycomb
Toyota,SUV,2704,15,2.2,5,Versatile Honeycomb
